Ekran,Hafiza,Kamera,Bakma_Sirasi
115,52,98,123
5,84,18,132
106,74,89,213
39,62,39,231
101,77,69,312
73,37,37,321
35,114,59,123
20,22,57,132
75,58,101,213
17,27,81,231
88,47,66,312
32,25,82,321
79,112,55,123
48,71,23,132
91,53,50,213
3,10,80,231
110,29,102,312
2,116,15,321
50,16,111,123
94,106,48,132
84,115,100,213
26,13,65,231
97,45,76,312
49,85,113,321
69,54,28,123
18,41,79,132
85,107,70,213
117,12,53,123
73,56,96,132
95,67,49,213
37,18,91,231
89,19,17,312
64,89,112,321
15,99,108,123
83,24,45,132
11,34,88,213
99,72,24,231
68,98,113,312
28,23,34,321
36,100,43,123
81,78,20,132
41,9,30,213
77,79,5,123
46,31,40,132
63,73,62,213
109,91,90,231
48,65,74,312
5,81,28,321
106,50,60,123
7,75,61,132
34,39,118,213
42,50,107,231
24,86,86,312
116,55,14,321
54,68,85,123
19,84,66,132
78,95,71,213
43,37,4,231
